Run Name,Run ID,State,Backbone,Policy,Game,Seed,Retrieval,Eval Return,Eval Normalized Return,Warmup Steps,Batch Size Reduction,Hash Bits,Retrieval Target,Anchor Weight,Created At
Mamba2_AC_Krull_seed6010_X,mera5ngk,finished,Mamba2,AC,Krull,6010,X,,,50000,retrieved,10,16,0.0625,2026-09-12T11:35:58Z
Mamba2_AC_Frostbite_seed6010_X,kwxa3efq,finished,Mamba2,AC,Frostbite,6010,X,,,50000,retrieved,10,16,0.0625,2026-09-12T11:37:38Z
Mamba2_AC_Assault_seed6010_X,ds19f3ml,finished,Mamba2,AC,Assault,6010,X,,,50000,retrieved,10,16,0.0625,2026-09-12T11:39:01Z
Mamba2_AC_Amidar_seed6010_X,d2x1c1en,finished,Mamba2,AC,Amidar,6010,X,,,50000,retrieved,10,16,0.0625,2026-09-12T11:41:41Z
Mamba2_AC_Amidar_seed3710_X,s7qnin4f,finished,Mamba2,AC,Amidar,3710,X,,,50000,retrieved,10,16,0.0625,2026-09-12T12:15:09Z
Mamba2_AC_Pong_seed2000_X,ldp9bu6i,finished,Mamba2,AC,Pong,2000,X,,,50000,retrieved,10,16,0.0625,2026-09-12T12:15:39Z
Mamba2_AC_BattleZone_seed3710_X,9l57kpp0,finished,Mamba2,AC,BattleZone,3710,X,,,50000,retrieved,10,16,0.0625,2026-09-12T12:17:12Z
Mamba2_AC_Amidar_seed3710_O,f2hapfd6,finished,Mamba2,AC,Amidar,3710,O,,,50000,retrieved,10,16,0.0625,2026-09-12T14:06:59Z
Mamba2_AC_BattleZone_seed3710_O,xjmo67zz,finished,Mamba2,AC,BattleZone,3710,O,,,50000,retrieved,10,16,0.0625,2026-09-12T14:10:57Z
Mamba2_AC_Pong_seed2010_X,r7xx98gc,finished,Mamba2,AC,Pong,2010,X,,,50000,retrieved,10,16,0.0625,2026-09-12T15:08:05Z
Mamba2_AC_Krull_seed6010_O,jfobo71c,finished,Mamba2,AC,Krull,6010,O,,,50000,retrieved,10,16,0.0625,2026-09-12T15:53:34Z
Mamba2_AC_Frostbite_seed6010_O,yek1u6ty,finished,Mamba2,AC,Frostbite,6010,O,,,50000,retrieved,10,16,0.0625,2026-09-12T15:56:44Z
Mamba2_AC_Assault_seed6010_O,cjat5h3s,finished,Mamba2,AC,Assault,6010,O,,,50000,retrieved,10,16,0.0625,2026-09-12T15:59:18Z
Mamba2_AC_Amidar_seed6010_O,b7d1fcs6,finished,Mamba2,AC,Amidar,6010,O,,,50000,retrieved,10,16,0.0625,2026-09-12T15:59:24Z
Mamba2_AC_Pong_seed2000_O,54peul18,finished,Mamba2,AC,Pong,2000,O,,,50000,retrieved,10,16,0.0625,2026-09-12T17:00:53Z
Mamba2_AC_Qbert_seed3710_X,rdsp4vkd,finished,Mamba2,AC,Qbert,3710,X,787.5,0.0469114438341735,50000,retrieved,10,16,0.0625,2026-09-12T18:46:26Z
Mamba2_AC_ChopperCommand_seed3710_X,wprgvkwu,finished,Mamba2,AC,ChopperCommand,3710,X,1250.0,0.0667477573361715,50000,retrieved,10,16,0.0625,2026-09-12T19:03:01Z
Mamba2_AC_Pong_seed2010_O,dbr7fc7u,finished,Mamba2,AC,Pong,2010,O,,,50000,retrieved,10,16,0.0625,2026-09-12T19:55:55Z
Mamba2_AC_Qbert_seed3710_O,bwkx0q0r,finished,Mamba2,AC,Qbert,3710,O,792.5,0.0472876382514483,50000,retrieved,10,16,0.0625,2026-09-12T20:39:02Z
Mamba2_AC_ChopperCommand_seed3710_O,nclj0x34,finished,Mamba2,AC,ChopperCommand,3710,O,1430.0,0.094115858294055,50000,retrieved,10,16,0.0625,2026-09-12T20:55:23Z
Mamba2_AC_Jamesbond_seed3710_X,6jiief14,finished,Mamba2,AC,Jamesbond,3710,X,355.0,1.1897810218978102,50000,retrieved,10,16,0.0625,2026-09-13T01:23:01Z
Mamba2_AC_UpNDown_seed3710_X,se3zzsqc,finished,Mamba2,AC,UpNDown,3710,X,2654.0,0.1900537634408602,50000,retrieved,10,16,0.0625,2026-09-13T02:03:10Z
